,Country/Territory/Region/Group,Revenues[3] (millions USD),Expenditures[3] (millions USD),Budget surplus (+) or deficit (-) (millions USD),Year,Surplus percentage of GDP[4],Year.1,Rank[4],Notes
179,Solomon Islands,514,537,−23,2019,−2.9%,2017,127,
180,Sierra Leone,740,867,−127,2019,−7.9%,2017,199,
181,El Salvador,6448,7273,−825,2019,−2.5%,2017,113,
182,San Marino,371,363,8,2019,−2.9%,2011,129,
183,Somalia,145.3,151.1,−5.8,2014,−0.1%,2014,50,
184,Saint Pierre and Miquelon,70,60,10,1996,3.8%,1996,10,
185,Serbia,21858,25720,−3862,2020,0.2%,2017,43,[k]
186,South Sudan,1940,1938,2,2019,−1.3%,FY2017/18,85,
187,São Tomé and Príncipe,95,102,−7,2019,−2.4%,2017,111,
188,Suriname,863,1648,−785,2019,−7.8%,2017,196,
189,Slovakia,43495,44914,−1419,2019,−1.0%,2017,74,
190,Slovenia,23735,23456,279,2019,0%,2017,45,
191,Sweden,259170,256454,2716,2019,1.3%,2017,25,
192,Eswatini,1131,1454,−323,2020,−8.5%,2017,201,
193,Seychelles,601,586,15,2019,−0.5%,2017,63,
194,Syria,1162,3211,−2049,2017,−8.7%,2017,203,[l]
195,Turks and Caicos Islands,247.3,224.3,23.0,2017,,,,
196,Chad,2290,2120,170,2020,−1.5%,2017,91,
197,Togo,1275,1158,117,2019,−3.8%,2017,153,
198,Thailand,104689,128581,−23892,2020,−3.5%,2017,147,
199,Tajikistan,2222,2393,−171,2019,−1.5%,2017,90,
200,Tokelau,24.32,11.67,12.65,2017,,,,
201,Turkmenistan,5954,6134,−180,2019,−2.8%,2017,123,
202,Timor-Leste,879,1396,−517,2019,−75.7%,2017,222,
203,Tonga,212,196,16,2019,0%,2017,44,
204,Trinidad and Tobago,4939,7528,−2589,2020,−8.2%,2017,200,
205,Tunisia,10866,12375,−1509,2019,−5.8%,2017,179,
206,Turkey,210536,249268,−38732,2020,−1.5%,2017,89,
207,Tuvalu,87,88,−1,2019,25.6%,2013,1,[m]
208,Taiwan,94943,105833,−10890,2019,−0.1%,2017,48,
209,Tanzania,8968,10017,−1049,2019,−1.8%,2017,99,
210,Uganda,5088,6896,−1808,2019,−4.1%,2017,157,
211,Ukraine,29000,35750,−6750,2021,−5.5%,2021,171,
212,Uruguay,14991,17571,−2580,2020,−3.5%,2017,146,
213,United States,6429000,7647000,−1218000,2019,−3.4%,2017,144,
214,Uzbekistan,16197,16346,−149,2019,0.3%,2017,41,
215,Vatican City,315,348,−33,2013,,,,
216,Saint Vincent and the Grenadines,243,288,−45,2020,−0.6%,2017,64,
217,Venezuela,30,76,−46,2017,−46.1%,2017,220,
218,British Virgin Islands,400,400,0,2017,0.0%,2017,46,
219,United States Virgin Islands,1496,1518,−22,2016,−0.4%,2016,59,
220,Vietnam,64895,75834,−10939,2019,−6.7%,2017,191,
221,Vanuatu,398,355,43,2019,−0.9%,2017,71,
222,West Bank and Gaza Strip,3803,5002,−1199,2020,0.4%,2017,39,
223,Wallis and Futuna,32.54,34.18,−1.64,2015,−0.8%,2015,69,
224,Samoa,313,263,50,2020,−4.7%,2017,165,
225,Kosovo,1951,2547,−596,2020,−2.1%,2017,107,
226,Yemen,2207,3585,−1378,2019,−5.2%,2017,170,
227,South Africa,84190,121204,−37014,2020,−4.4%,2017,162,
228,Zambia,4758,7044,−2286,2019,−7.3%,2017,195,
229,Zimbabwe,17,23,−6,2018,−9.6%,2017,208,
230,"Budget surplus or deficit records the difference between national government revenues and expenditures, expressed as a percent of GDP. A positive (+) number indicates that revenues exceeded expenditures (a budget surplus), while a negative (-) number indicates the reverse (a budget deficit). Figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.","Budget surplus or deficit records the difference between national government revenues and expenditures, expressed as a percent of GDP. A positive (+) number indicates that revenues exceeded expenditures (a budget surplus), while a negative (-) number indicates the reverse (a budget deficit). Figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.","Budget surplus or deficit records the difference between national government revenues and expenditures, expressed as a percent of GDP. A positive (+) number indicates that revenues exceeded expenditures (a budget surplus), while a negative (-) number indicates the reverse (a budget deficit). Figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.","Budget surplus or deficit records the difference between national government revenues and expenditures, expressed as a percent of GDP. A positive (+) number indicates that revenues exceeded expenditures (a budget surplus), while a negative (-) number indicates the reverse (a budget deficit). Figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.","Budget surplus or deficit records the difference between national government revenues and expenditures, expressed as a percent of GDP. A positive (+) number indicates that revenues exceeded expenditures (a budget surplus), while a negative (-) number indicates the reverse (a budget deficit). Figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.","Budget surplus or deficit records the difference between national government revenues and expenditures, expressed as a percent of GDP. A positive (+) number indicates that revenues exceeded expenditures (a budget surplus), while a negative (-) number indicates the reverse (a budget deficit). Figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.","Budget surplus or deficit records the difference between national government revenues and expenditures, expressed as a percent of GDP. A positive (+) number indicates that revenues exceeded expenditures (a budget surplus), while a negative (-) number indicates the reverse (a budget deficit). Figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.","Budget surplus or deficit records the difference between national government revenues and expenditures, expressed as a percent of GDP. A positive (+) number indicates that revenues exceeded expenditures (a budget surplus), while a negative (-) number indicates the reverse (a budget deficit). Figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.","Budget surplus or deficit records the difference between national government revenues and expenditures, expressed as a percent of GDP. A positive (+) number indicates that revenues exceeded expenditures (a budget surplus), while a negative (-) number indicates the reverse (a budget deficit). Figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms."
231,"^ United Arab Emirates: The UAE federal budget does not account for emirate-level spending in Abu Dhabi and Dubai ^ Bhutan: The Government of India finances nearly one-quarter of Bhutan's budget expenditures ^ Switzerland: Figures includes federal, cantonal, and municipal budgets ^ Cyprus: Area administered by Turkish Cypriots - revenues: $2.5 billion; expenditures: $2.5 billion (est. 2006) ^ Finland: Central Government Budget data; these numbers represent a significant reduction from previous official reporting ^ Faroe Islands: Denmark supplies the Faroe Islands with almost one-third of its public funds ^ Moldova: National Public Budget ^ Pakistan: Data are for fiscal years ^ Singapore: Expenditures include both operational and development expenditures ^ Saint Helena, Ascension and Tristan da Cunha: Revenue data reflect only locally raised revenues; the budget deficit is resolved by grant aid from the UK ^ Serbia: Data include both central government and local government budgets ^ Syria: Government projections for FY2016 ^ Tuvalu: Revenue data include Official Development Assistance from Australia","^ United Arab Emirates: The UAE federal budget does not account for emirate-level spending in Abu Dhabi and Dubai ^ Bhutan: The Government of India finances nearly one-quarter of Bhutan's budget expenditures ^ Switzerland: Figures includes federal, cantonal, and municipal budgets ^ Cyprus: Area administered by Turkish Cypriots - revenues: $2.5 billion; expenditures: $2.5 billion (est. 2006) ^ Finland: Central Government Budget data; these numbers represent a significant reduction from previous official reporting ^ Faroe Islands: Denmark supplies the Faroe Islands with almost one-third of its public funds ^ Moldova: National Public Budget ^ Pakistan: Data are for fiscal years ^ Singapore: Expenditures include both operational and development expenditures ^ Saint Helena, Ascension and Tristan da Cunha: Revenue data reflect only locally raised revenues; the budget deficit is resolved by grant aid from the UK ^ Serbia: Data include both central government and local government budgets ^ Syria: Government projections for FY2016 ^ Tuvalu: Revenue data include Official Development Assistance from Australia","^ United Arab Emirates: The UAE federal budget does not account for emirate-level spending in Abu Dhabi and Dubai ^ Bhutan: The Government of India finances nearly one-quarter of Bhutan's budget expenditures ^ Switzerland: Figures includes federal, cantonal, and municipal budgets ^ Cyprus: Area administered by Turkish Cypriots - revenues: $2.5 billion; expenditures: $2.5 billion (est. 2006) ^ Finland: Central Government Budget data; these numbers represent a significant reduction from previous official reporting ^ Faroe Islands: Denmark supplies the Faroe Islands with almost one-third of its public funds ^ Moldova: National Public Budget ^ Pakistan: Data are for fiscal years ^ Singapore: Expenditures include both operational and development expenditures ^ Saint Helena, Ascension and Tristan da Cunha: Revenue data reflect only locally raised revenues; the budget deficit is resolved by grant aid from the UK ^ Serbia: Data include both central government and local government budgets ^ Syria: Government projections for FY2016 ^ Tuvalu: Revenue data include Official Development Assistance from Australia","^ United Arab Emirates: The UAE federal budget does not account for emirate-level spending in Abu Dhabi and Dubai ^ Bhutan: The Government of India finances nearly one-quarter of Bhutan's budget expenditures ^ Switzerland: Figures includes federal, cantonal, and municipal budgets ^ Cyprus: Area administered by Turkish Cypriots - revenues: $2.5 billion; expenditures: $2.5 billion (est. 2006) ^ Finland: Central Government Budget data; these numbers represent a significant reduction from previous official reporting ^ Faroe Islands: Denmark supplies the Faroe Islands with almost one-third of its public funds ^ Moldova: National Public Budget ^ Pakistan: Data are for fiscal years ^ Singapore: Expenditures include both operational and development expenditures ^ Saint Helena, Ascension and Tristan da Cunha: Revenue data reflect only locally raised revenues; the budget deficit is resolved by grant aid from the UK ^ Serbia: Data include both central government and local government budgets ^ Syria: Government projections for FY2016 ^ Tuvalu: Revenue data include Official Development Assistance from Australia","^ United Arab Emirates: The UAE federal budget does not account for emirate-level spending in Abu Dhabi and Dubai ^ Bhutan: The Government of India finances nearly one-quarter of Bhutan's budget expenditures ^ Switzerland: Figures includes federal, cantonal, and municipal budgets ^ Cyprus: Area administered by Turkish Cypriots - revenues: $2.5 billion; expenditures: $2.5 billion (est. 2006) ^ Finland: Central Government Budget data; these numbers represent a significant reduction from previous official reporting ^ Faroe Islands: Denmark supplies the Faroe Islands with almost one-third of its public funds ^ Moldova: National Public Budget ^ Pakistan: Data are for fiscal years ^ Singapore: Expenditures include both operational and development expenditures ^ Saint Helena, Ascension and Tristan da Cunha: Revenue data reflect only locally raised revenues; the budget deficit is resolved by grant aid from the UK ^ Serbia: Data include both central government and local government budgets ^ Syria: Government projections for FY2016 ^ Tuvalu: Revenue data include Official Development Assistance from Australia","^ United Arab Emirates: The UAE federal budget does not account for emirate-level spending in Abu Dhabi and Dubai ^ Bhutan: The Government of India finances nearly one-quarter of Bhutan's budget expenditures ^ Switzerland: Figures includes federal, cantonal, and municipal budgets ^ Cyprus: Area administered by Turkish Cypriots - revenues: $2.5 billion; expenditures: $2.5 billion (est. 2006) ^ Finland: Central Government Budget data; these numbers represent a significant reduction from previous official reporting ^ Faroe Islands: Denmark supplies the Faroe Islands with almost one-third of its public funds ^ Moldova: National Public Budget ^ Pakistan: Data are for fiscal years ^ Singapore: Expenditures include both operational and development expenditures ^ Saint Helena, Ascension and Tristan da Cunha: Revenue data reflect only locally raised revenues; the budget deficit is resolved by grant aid from the UK ^ Serbia: Data include both central government and local government budgets ^ Syria: Government projections for FY2016 ^ Tuvalu: Revenue data include Official Development Assistance from Australia","^ United Arab Emirates: The UAE federal budget does not account for emirate-level spending in Abu Dhabi and Dubai ^ Bhutan: The Government of India finances nearly one-quarter of Bhutan's budget expenditures ^ Switzerland: Figures includes federal, cantonal, and municipal budgets ^ Cyprus: Area administered by Turkish Cypriots - revenues: $2.5 billion; expenditures: $2.5 billion (est. 2006) ^ Finland: Central Government Budget data; these numbers represent a significant reduction from previous official reporting ^ Faroe Islands: Denmark supplies the Faroe Islands with almost one-third of its public funds ^ Moldova: National Public Budget ^ Pakistan: Data are for fiscal years ^ Singapore: Expenditures include both operational and development expenditures ^ Saint Helena, Ascension and Tristan da Cunha: Revenue data reflect only locally raised revenues; the budget deficit is resolved by grant aid from the UK ^ Serbia: Data include both central government and local government budgets ^ Syria: Government projections for FY2016 ^ Tuvalu: Revenue data include Official Development Assistance from Australia","^ United Arab Emirates: The UAE federal budget does not account for emirate-level spending in Abu Dhabi and Dubai ^ Bhutan: The Government of India finances nearly one-quarter of Bhutan's budget expenditures ^ Switzerland: Figures includes federal, cantonal, and municipal budgets ^ Cyprus: Area administered by Turkish Cypriots - revenues: $2.5 billion; expenditures: $2.5 billion (est. 2006) ^ Finland: Central Government Budget data; these numbers represent a significant reduction from previous official reporting ^ Faroe Islands: Denmark supplies the Faroe Islands with almost one-third of its public funds ^ Moldova: National Public Budget ^ Pakistan: Data are for fiscal years ^ Singapore: Expenditures include both operational and development expenditures ^ Saint Helena, Ascension and Tristan da Cunha: Revenue data reflect only locally raised revenues; the budget deficit is resolved by grant aid from the UK ^ Serbia: Data include both central government and local government budgets ^ Syria: Government projections for FY2016 ^ Tuvalu: Revenue data include Official Development Assistance from Australia","^ United Arab Emirates: The UAE federal budget does not account for emirate-level spending in Abu Dhabi and Dubai ^ Bhutan: The Government of India finances nearly one-quarter of Bhutan's budget expenditures ^ Switzerland: Figures includes federal, cantonal, and municipal budgets ^ Cyprus: Area administered by Turkish Cypriots - revenues: $2.5 billion; expenditures: $2.5 billion (est. 2006) ^ Finland: Central Government Budget data; these numbers represent a significant reduction from previous official reporting ^ Faroe Islands: Denmark supplies the Faroe Islands with almost one-third of its public funds ^ Moldova: National Public Budget ^ Pakistan: Data are for fiscal years ^ Singapore: Expenditures include both operational and development expenditures ^ Saint Helena, Ascension and Tristan da Cunha: Revenue data reflect only locally raised revenues; the budget deficit is resolved by grant aid from the UK ^ Serbia: Data include both central government and local government budgets ^ Syria: Government projections for FY2016 ^ Tuvalu: Revenue data include Official Development Assistance from Australia"
